at the same time;literature;keep
in addition to;literature;drop
concurrently;literature;keep
in parallel;literature;keep
in parallel with this;literature;keep
in the meantime;literature;keep
meantime;literature;keep
meanwhile;literature;keep
simultaneously;literature;keep
whereas;literature;keep
while;literature;keep
two concurrent activities are triggered;gold;keep
